date,meal,items,kcal_low,kcal_high,protein_low,protein_high,fat_low,fat_high,status,notes
2026-09-04,Breakfast,Dosa + sambar + red chutney (coconut chutney skipped),360,450,6,9,8,12,logged,
2026-09-04,Lunch,Chicken biryani (half plate) + raita,500,680,25,35,18,28,logged,
2026-09-04,Snack,Black coffee + 1 whey scoop,100,130,20,25,1,3,logged,
2026-09-04,Snack,1 cookie (cashew/almond biscuit),38,38,0.5,0.5,2,2,logged,
2026-09-04,Dinner,2 maida porotta + kadala curry,520,800,15,21,23,38,logged,Dropped from 3 to 2 porotta to tighten calories and fat
2026-09-05,Breakfast,2 dosa + sambar + red chutney (coconut chutney skipped),410,520,11,15,10,17,logged,
2026-09-05,Snack,Black coffee + 1 whey scoop (no sugar),100,130,20,25,1,3,logged,
2026-09-05,Lunch,Fish fry + ~half container barik rice + sambar + veg raita + red chutney + veg side,590,840,28,39,20,33,logged,
2026-09-05,Snack,1 whey scoop + water,100,120,20,25,1,2,logged,
2026-09-05,Supplement,Pre-workout scoop,5,15,0,0,0,0,pending,Planned but not taken as of last check - confirm before logging
2026-09-05,Snack,3 uzhunnu vada + coconut chutney,480,650,11.5,17,29,40,logged,Coconut chutney included this time (skipped at breakfast both days)
2026-09-05,Dinner,Fresh pineapple juice (~350-450 ml takeaway cup) - no added sugar,175,240,1,2,0,0.5,logged,Juice only - no solid food at dinner. ~35-45 g natural sugar; no fibre; ~1.5 g protein
2026-09-06,Breakfast,2 maida porotta + kadala curry,520,800,15,21,23,38,logged,Ate 2 of the 3 served - deliberately cut one for calories; costed identically to Day 1 dinner
2026-09-06,Lunch,Honest Bowl - Grilled Chicken and Rice Bowl,550,710,42,48,9,18,logged,Menu states 42 g protein; chicken + jasmine rice + sweet potato
2026-09-06,Dinner,Honest Bowl - Tofu Delight Bowl,420,560,18,22,15,25,logged,Menu states 20 g protein; jasmine rice + cajun tofu + grilled eggplant
2026-09-06,Dinner,Chicken curry (1 takeaway container),280,420,20,28,16,26,logged,Eaten alongside the tofu bowl
2026-09-06,Snack,Fresh orange juice (~350-450 ml) - no added sugar,155,205,2,3,0,0.5,logged,Second juice in three days; ~32-40 g natural sugar
2026-09-07,Breakfast,2 appam + potato curry (bhaji),390,520,8,11,10,18,logged,Lightest breakfast in the log by calories; fourth straight breakfast under 20 g protein
2026-09-07,Snack,Black coffee + 1 whey scoop,100,130,20,25,1,3,logged,
2026-09-07,Snack,Sweet melon (2 wedges),70,110,1,2,0,1,logged,Whole fruit - fibre intact; second wedge added
2026-09-07,Lunch,"Mess meals plate (rice halved): rice, 2 boiled eggs, 1 fried fish, sambar, green peas, buttermilk, veg curry, fish curry",790,1100,37,51,28,48,logged,Rice was already the half portion - both levers pulled. Highest-protein single meal in the log
2026-09-07,Snack,2 boiled eggs (5pm),140,156,12,13,10,11,logged,Second egg serving of the day - four eggs total
2026-09-07,Snack,Red grapes (~100 g),60,75,0.5,0.7,0,0.5,logged,Portioned into a box rather than eaten from the bunch; some left over
2026-09-07,Snack,Chatti pathiri chicken (1 slice),230,320,10,14,12,18,logged,Before dinner. Slice count assumed 1 - double if it was 2
2026-09-07,Dinner,Chicken curry + 1 chapati,380,550,23,32,18,30,logged,Mess Monday dinner; took one chapati rather than two
2026-09-08,Breakfast,Puttu + kadala curry,420,600,12,16,12,19,logged,Mess served puttu rather than the Tuesday masala dosa on the menu
2026-09-08,Lunch,"2 eggs fried without oil + half container ghee rice + small container chicken curry + curd salad",565,786,35,45,29,44,logged,Eggs dry-fried with pepper and salt; rice halved by the user
2026-09-08,Snack,Black coffee + 1 whey scoop,100,130,20,25,1,3,logged,Scoop 1 of the 3 planned for today
2026-09-08,Dinner,2 chapati + green peas curry + 2 boiled eggs,520,676,26,33,22,33,logged,Eggs added to the mess dinner as the protein anchor
2026-09-08,Snack,Coca-Cola Zero Sugar (245 ml),0,2,0,0,0,0,logged,Genuinely zero calorie
2026-09-08,Snack,1 whey scoop + water,100,120,20,25,1,2,logged,Closing scoop for the day
2026-09-09,Breakfast,1 dosa + egg roast (1 whole egg),360,490,10,14,17,28,logged,Took a dosa instead of the menu's poratta - the Wednesday cut, made at breakfast
2026-09-09,Snack,Black coffee + 1 whey scoop,100,130,20,25,1,3,logged,Scoop 1 of the 3 planned for today
2026-09-09,Lunch,"Mess meals plate (rice halved) + 2 boiled eggs + 1-egg omelette + veg curry, coconut thoran, kadala-veg thoran, chutney",760,1060,33,44,31,48,logged,Both levers again - rice halved and three eggs' worth of protein added. Fat nudged up for the coconut thoran after a clearer photo
2026-09-09,Snack,Black coffee + 1 whey scoop,100,130,20,25,1,3,logged,Scoop 2
2026-09-09,Snack,2 boiled eggs,140,156,12,13,10,11,logged,Eggs 5 and 6 of the day
2026-09-09,Dinner,2 chapati + chicken curry,480,680,26,36,20,34,logged,Mess Wednesday dinner
2026-09-09,Drink,Coca-Cola Zero Sugar (245 ml),0,2,0,0,0,0,logged,Genuinely zero calorie
2026-09-10,Breakfast,1 dosa + sambar + red chutney (coconut chutney skipped),350,480,8,12,12,25,logged,Coconut chutney skipped again - saves ~100 kcal and ~9 g fat
2026-09-10,Lunch,"Mess meals plate (rice halved) + matthi taken without the gravy + 2 small fried chicken pieces + coconut chammanthi, thoran, veg curries",760,1150,39,57,28,53,logged,Fish lifted out of the curry and the oily gravy left behind; 2 fried chicken pieces on the plate
2026-09-10,Snack,Black coffee + 1 whey scoop,100,130,20,25,1,3,logged,Scoop 1
2026-09-10,Snack,Chicken roll (breadcrumbed and deep-fried),290,400,10,15,15,23,logged,Revised down on inspection - mostly bread and frying oil, thin chicken filling
2026-09-10,Dinner,2 chapati + gobi chilli,380,540,10,15,14,26,logged,Mess Thursday dinner; modest gobi portion
2026-09-11,Breakfast,2 set dosa + sambar + red chutney (coconut chutney skipped),410,550,10,15,11,24,logged,Coconut chutney skipped again
2026-09-11,Breakfast,1 egg fried dry with no oil + pepper,70,78,6,6.5,5,5.5,logged,Second time cooking eggs dry - saves ~20-25 kcal versus pan oil
2026-09-11,Lunch,"Chicken biriyani with rice halved + 2 chicken pieces + 3 boiled eggs + curd salad",700,954,45,57,35,53,logged,Rice halved; 3 eggs added
2026-09-12,Breakfast,2 set dosa + sambar + red chutney (coconut chutney skipped),410,550,10,15,11,24,logged,Fifth skip of the coconut chutney in nine days
2026-09-12,Lunch,"Mess meals plate (rice halved) + 2 boiled eggs + 1 fried fish piece + sambar, curd, veg sides",665,965,31.5,42.5,29,50,logged,Rice halved and 2 eggs added - both levers again
2026-09-12,Snack,2 boiled eggs,140,156,12,13,10,11,logged,Eggs 3 and 4 of the day
